date,tradition,title,epistle,gospel,matins,vespers,other
2030-02-17,greek,Sunday of the Publican and the Pharisee,2 Timothy 3.10-15 || 2 Timothy 2.1-10 ~ Theodore Tyro,Luke 18.10-14 || Luke 20.46-21.4 ~ Theodore Tyro,5th Matins Gospel :: Luke 24.12-35,,
2030-02-17,slavic,Sunday of the Publican and the Pharisee,2 Timothy 3.10-15,Luke 18.10-14,5th Matins Gospel :: Luke 24.12-35,,
2030-02-18,greek,,2 Peter 1.20-2.9,Mark 13.9-13,,,
2030-02-18,slavic,,2 Peter 1.20-2.9 || Hebrews 13.17-21 ~ St Theodosius,Mark 13.9-13 || Luke 6.17-23 ~ St Theodosius,John 10.9-16,"Composite 2 - Proverbs 10, 3, 8 || Composite 4 - Proverbs 10; Wisdom of Solomon 6, 7, 8, 9 || Wisdom of Solomon 4.7-15",
2030-02-19,greek,,2 Peter 2.9-22,Mark 13.14-23,,,
2030-02-19,slavic,,2 Peter 2.9-22,Mark 13.14-23,,,
2030-02-20,greek,,2 Peter 3.1-18,Mark 13.24-31,,,
2030-02-20,slavic,,2 Peter 3.1-18,Mark 13.24-31,,,
2030-02-21,greek,,1 John 1.8-2.6,Mark 13.31-14.2,,,
2030-02-21,slavic,,1 John 1.8-2.6,Mark 13.31-14.2,,,
2030-02-22,greek,,1 John 2.7-17,Mark 14.3-9,,,
2030-02-22,slavic,,1 John 2.7-17 || Hebrews 7.7-17 ~ Meeting,Mark 14.3-9 || Luke 2.22-40 ~ Meeting,,,
2030-02-23,greek,,1 Timothy 6.11-16,Luke 20.46-21.4,,,
2030-02-23,slavic,,2 Timothy 3.1-9,Luke 20.46-21.4,,,
2030-02-24,greek,Sunday of the Prodigal Son,1 Corinthians 6.12-20 || 2 Corinthians 4.6-15 ~ Forerunner,Luke 15.11-32 || Matthew 11.2-15 ~ Forerunner,6th Matins Gospel :: Luke 24.36-53,"Composite 8 - Isaiah 40, 41, 45, 48, 54 ~ Forerunner || Composite 9 - Malachi 3, 4 ~ Forerunner || Composite 3 - Wisdom of Solomon 4, 5 ~ Forerunner",
2030-02-24,slavic,Sunday of the Prodigal Son,1 Corinthians 6.12-20,Luke 15.11-32,6th Matins Gospel :: Luke 24.36-53,,
2030-02-25,greek,Monday of Meatfare,1 John 2.18-3.10,Mark 11.1-11,,,
2030-02-25,slavic,Monday of Meatfare,1 John 2.18-3.10,Mark 11.1-11,,,
2030-02-26,greek,Tuesday of Meatfare,1 John 3.10-20,Mark 14.10-42,,,
2030-02-26,slavic,Tuesday of Meatfare,1 John 3.10-20,Mark 14.10-42,,,
2030-02-27,greek,Wednesday of Meatfare,1 John 3.21-4.6 || Hebrews 13.17-21 ~ St Raphael,Mark 14.43-15.1 || John 10.9-16 ~ St Raphael,John 10.1-9 ~ St Raphael,"Composite 2 - Proverbs 10, 3, 8 ~ St Raphael || Proverbs 10.31-11.12 ~ St Raphael || Wisdom of Solomon 4.7-15 ~ St Raphael",
2030-02-27,slavic,Wednesday of Meatfare,1 John 3.21-4.6,Mark 14.43-15.1,,,
2030-02-28,greek,Thursday of Meatfare,1 John 4.20-5.21,Mark 15.1-15,,,
2030-02-28,slavic,Thursday of Meatfare,1 John 4.20-5.21,Mark 15.1-15,,,
2030-03-01,greek,Friday of Meatfare,2 John 1.1-13,"Mark 15.20, 22, 25, 33-41",,,
2030-03-01,slavic,Friday of Meatfare,2 John 1.1-13,"Mark 15.22, 25, 33-41",,,
2030-03-02,greek,Saturday of Meatfare,1 Corinthians 10.23-28 || 1 Thessalonians 4.13-17 ~ Departed,"Luke 21.8-9, 25-27, 33-36 || John 5.24-30 ~ Departed",,,
2030-03-02,slavic,Saturday of Meatfare,1 Corinthians 10.23-28 || 1 Thessalonians 4.13-17 ~ Departed,"Luke 21.8-9, 25-27, 33-36 || John 5.24-30 ~ Departed",,,
