saint_id,kind,tone,text,translation,source_url
OS-1665,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Theodosius, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1666,Troparion,3,"Your holy martyr Mercurius, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1667,Troparion,4,"The truth of things revealed you to your flock as a rule of faith, / a model of meekness, and a teacher of temperance. / Therefore, through humility, you attained the heights; / and through poverty, riches. / O Hierarch Nárcissus our Father, entreat Christ God that our souls may be saved.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-1667,Kontakion,2,"(Podoben: “You sought the heights...”) O Hierarch Nárcissus, / divine thunder, spiritual trumpet, / planter of faith, and pruner of heresies, / great favorite of the Trinity, / standing before God with the Angels, / pray unceasingly for all of us.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/07
OS-0406,Troparion,3,"In confessing the Faith you proclaimed Orthodox doctrine / and were unjustly exiled for rebuking the wicked Emperor. / O righteous and glorious Emilian, / the boast of Kyzikos, / entreat Christ God to grant us His great mercy.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-0406,Kontakion,3,"As a valiant defender of the Trinity, / the Church for which you suffered glorifies you with hymns, O Emilian, since you suffered for Her. / Therefore we honor your memory. / Deliver your servants from all assaults of the Enemy.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1668,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Gregory, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1011,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Zosimas, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1669,Troparion,4,"In truth you were revealed to your flock as a rule of faith, / an image of humility and a teacher of abstinence; / your humility exalted you; / your poverty enriched you. / Hierarch Father Myron, / entreat Christ our God / that our souls may be saved.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1670,Troparion,4,"Your holy martyrs O Lord, / through their sufferings have received incorruptible crowns from You, our God. / For having Your strength, they laid low their adversaries, / and shattered the powerless boldness of demons. / Through their intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1671,Troparion,5,"Adorned with sanctity of soul, as a pure vessel of divine vision, / you proved to be a reflection of the angelic life. / Therefore, you shone forth spiritually with the radiance of the virtues, / O Father Gregory, the boast of Sinai and Athos; / and you guide us unerringly unto the salvation of our souls.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1672,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Euthymius, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1673,Troparion,3,"Your holy martyr Triandaphyllus, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1673,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Triandaphyllus; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1674,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Zosimas, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-1675,Troparion,4,"Your holy martyrs O Lord, / through their sufferings have received incorruptible crowns from You, our God. / For having Your strength, they laid low their adversaries, / and shattered the powerless boldness of demons. / Through their intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/08
OS-0044,Troparion,7,"Joyful North Star of the Church of Christ, / guiding all people to the Heavenly Kingdom; / teacher and apostle of the True Faith; / intercessor and defender of the oppressed; / adornment of the Orthodox Church in America: / Blessed Father Herman of Alaska, / pray to our Lord Jesus Christ / for the salvation of our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-0044,Troparion,4,"O blessed Father Herman of Alaska, / north star of Christ’s holy Church, / the light of your holy life and great deeds / guides those who follow the Orthodox way. / Together we lift high the Holy Cross / you planted firmly in America. / Let all behold and glorify Jesus Christ, / singing his holy Resurrection.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-0044,Kontakion,3,"The eternal light of Christ our Savior / guided you, blessed Father Herman, / on your evangelical journey to America / to proclaim the Gospel of peace. / Now you stand before the throne of glory; / intercede for your land and its people: / Peace for the world and salvation for our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1676,Troparion,3,"O Holy Apostle Matthias, / intercede with the merciful God / to grant our souls forgiveness of transgressions.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1676,Kontakion,4,"O wonderworker and Apostle Matthias, / your words have gone out into all the world, / enlightening men as the sun / and giving grace to the Church, / bringing faith to the heathen lands.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1677,Troparion,3,"Your holy martyr Anthony, O Lord, / through his sufferings has received an incorruptible crown from You, our God. / For having Your strength, he laid low his adversaries, / and shattered the powerless boldness of demons. / Through his intercessions, save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1677,Kontakion,2,"(Podoben: “You sought the heights...”) You appeared as a bright star announcing Christ with your radiance, / which is repulsive to this world, O Martyr Anthony; / extinguishing the allure of false gods, / you enlighten the faithful, / always interceding for us all.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1678,Troparion,8,"By a flood of tears you made the desert fertile, / and your longing for God brought forth fruits in abundance. / By the radiance of miracles you illumined the whole universe! / O our holy father Psoi, pray to Christ our God to save our souls!",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1679,Troparion,4,"Your holy martyr Julian and his companions, O Lord, / through their sufferings have received incorruptible crowns from You, our God. / For having Your strength, they laid low their adversaries, / and shattered the powerless boldness of demons. / Through their intercessions, save our souls",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1680,Troparion,8,"(Podoben: “Come, let us worship the Word...”) With the streams of your tears, you cultivated the barrenness of the desert, / and by your sighings from the depths, your labors bore fruit a hundredfold, / and you became a luminary of the world, radiant with miracles, / O Makarios our Father. Intercede with Christ God that our souls may be saved.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1680,Kontakion,2,"(Podoben: “Seeking the things on high...”) Having divinely armed yourself with purity of soul / and firmly grasping unceasing prayer as a spear, you slew the hordes of demons. / Therefore, we beseech you, O Father Makarios: / “Always intercede for those who honor you.”",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1681,Troparion,8,"In you, O Father, was preserved with exactness what was according to the image; / for you took up your cross and followed Christ. / By so doing, you taught us to disregard the flesh, for it passes away; / but to care for the soul, since it is immortal. / Therefore, O Venerable Ignatius, your spirit rejoices with the Angels.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1681,Kontakion,2,"Let us worthily extol in hymns the all-praised Ignatius, / as a devout and experienced faster, / as an honored and voluntary martyr, / and as one who led an eremitic life in the desert, / for he has trampled the serpent underfoot.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
OS-1682,Troparion,4,"By sharing in the ways of the Apostles, / you became a successor to their throne. / Through the practice of virtue, you found the way to divine contemplation, O inspired one of God; / by teaching the word of truth without error, you defended the Faith, / even to the shedding of your blood. / Hieromartyr Euthymios, entreat Christ God to save our souls.",Permission:oca,https://www.oca.org/saints/troparia/2026/08/09
